global_id,class_id,is_visual_rep,r1,r2,r3,r4,r5,r6,r7,r8,r9,n_up,n_ne,n_nw
172,5,0,"up(0,0)","up(0,2)","nw(1,4)","nw(3,4)","nw(5,4)","up(2,0)","up(2,2)","up(4,0)","up(4,2)",6,0,3
173,5,1,"up(0,0)","nw(1,2)","nw(3,2)","up(0,4)","nw(5,2)","up(2,0)","up(2,4)","up(4,0)","up(4,4)",6,0,3
174,5,0,"up(0,0)","nw(1,2)","nw(3,2)","nw(1,4)","nw(3,4)","nw(5,2)","nw(5,4)","up(2,0)","up(4,0)",3,0,6
175,5,0,"up(5,0)","up(5,2)","up(5,4)","up(1,0)","up(1,2)","up(1,4)","ne(5,3)","ne(5,5)","ne(5,1)",6,3,0
176,5,0,"up(5,0)","up(5,2)","up(5,4)","ne(3,3)","ne(3,5)","ne(3,1)","up(3,0)","up(3,2)","up(3,4)",6,3,0
177,5,0,"up(5,0)","up(5,2)","up(5,4)","ne(3,3)","ne(3,5)","ne(3,1)","ne(5,3)","ne(5,5)","ne(5,1)",3,6,0
178,5,0,"up(5,0)","up(5,2)","nw(2,4)","nw(4,4)","up(1,0)","up(1,2)","nw(0,4)","up(3,0)","up(3,2)",6,0,3
179,5,0,"up(5,0)","nw(2,2)","nw(4,2)","up(5,4)","up(1,0)","up(1,4)","nw(0,2)","up(3,0)","up(3,4)",6,0,3
180,5,0,"up(5,0)","nw(2,2)","nw(4,2)","nw(2,4)","nw(4,4)","up(1,0)","nw(0,2)","nw(0,4)","up(3,0)",3,0,6
181,5,0,"ne(2,4)","ne(2,0)","ne(2,2)","ne(4,4)","ne(4,0)","ne(4,2)","up(4,5)","up(4,1)","up(4,3)",3,6,0
182,5,0,"ne(2,4)","ne(2,0)","ne(2,2)","up(2,5)","up(2,1)","up(2,3)","ne(0,4)","ne(0,0)","ne(0,2)",3,6,0
183,5,0,"ne(2,4)","ne(2,0)","ne(2,2)","up(2,5)","up(2,1)","up(2,3)","up(4,5)","up(4,1)","up(4,3)",6,3,0
184,5,0,"ne(2,4)","ne(2,0)","nw(3,3)","nw(1,5)","nw(5,1)","ne(4,4)","ne(4,2)","ne(0,0)","ne(0,2)",0,6,3
185,5,0,"ne(2,4)","nw(3,1)","nw(1,3)","ne(2,2)","nw(5,5)","ne(4,0)","ne(4,2)","ne(0,4)","ne(0,0)",0,6,3
186,5,0,"ne(2,4)","nw(3,1)","nw(1,3)","nw(3,3)","nw(1,5)","nw(5,5)","nw(5,1)","ne(4,2)","ne(0,0)",0,3,6
187,5,0,"ne(1,5)","ne(1,1)","ne(1,3)","up(1,0)","up(1,2)","up(1,4)","up(3,0)","up(3,2)","up(3,4)",6,3,0
188,5,0,"ne(1,5)","ne(1,1)","ne(1,3)","up(1,0)","up(1,2)","up(1,4)","ne(5,3)","ne(5,5)","ne(5,1)",3,6,0
189,5,0,"ne(1,5)","ne(1,1)","ne(1,3)","ne(3,3)","ne(3,5)","ne(3,1)","up(3,0)","up(3,2)","up(3,4)",3,6,0
190,5,0,"ne(1,5)","ne(1,1)","nw(4,2)","nw(2,4)","ne(3,3)","ne(3,5)","nw(0,0)","ne(5,3)","ne(5,1)",0,6,3
191,5,0,"ne(1,5)","nw(4,0)","nw(2,2)","ne(1,3)","ne(3,3)","ne(3,1)","nw(0,4)","ne(5,5)","ne(5,1)",0,6,3
192,5,0,"ne(1,5)","nw(4,0)","nw(2,2)","nw(4,2)","nw(2,4)","ne(3,3)","nw(0,0)","nw(0,4)","ne(5,1)",0,3,6
193,5,0,"nw(2,0)","ne(1,1)","ne(1,3)","nw(4,4)","ne(3,5)","ne(3,1)","nw(0,2)","ne(5,3)","ne(5,5)",0,6,3
194,5,0,"nw(2,0)","ne(1,1)","nw(4,2)","nw(2,4)","nw(4,4)","ne(3,5)","nw(0,0)","nw(0,2)","ne(5,3)",0,3,6
195,5,0,"nw(2,0)","nw(4,0)","up(5,2)","up(5,4)","up(1,2)","up(1,4)","nw(0,0)","up(3,2)","up(3,4)",6,0,3
196,5,0,"nw(2,0)","nw(4,0)","up(5,2)","nw(2,4)","nw(4,4)","up(1,2)","nw(0,0)","nw(0,4)","up(3,2)",3,0,6
197,5,0,"nw(2,0)","nw(4,0)","nw(2,2)","ne(1,3)","nw(4,4)","ne(3,1)","nw(0,2)","nw(0,4)","ne(5,5)",0,3,6
198,5,0,"nw(2,0)","nw(4,0)","nw(2,2)","nw(4,2)","up(5,4)","up(1,4)","nw(0,0)","nw(0,2)","up(3,4)",3,0,6
199,5,0,"up(0,5)","up(0,1)","up(0,3)","ne(4,4)","ne(4,0)","ne(4,2)","ne(0,4)","ne(0,0)","ne(0,2)",3,6,0
200,5,0,"up(0,5)","up(0,1)","up(0,3)","ne(4,4)","ne(4,0)","ne(4,2)","up(4,5)","up(4,1)","up(4,3)",6,3,0
201,5,0,"up(0,5)","up(0,1)","up(0,3)","up(2,5)","up(2,1)","up(2,3)","ne(0,4)","ne(0,0)","ne(0,2)",6,3,0
202,5,0,"up(0,5)","up(0,1)","nw(1,3)","nw(3,3)","nw(5,3)","up(2,5)","up(2,1)","up(4,5)","up(4,1)",6,0,3
203,5,0,"up(0,5)","nw(1,1)","nw(3,1)","up(0,3)","nw(5,1)","up(2,5)","up(2,3)","up(4,5)","up(4,3)",6,0,3
204,5,0,"up(0,5)","nw(1,1)","nw(3,1)","nw(1,3)","nw(3,3)","nw(5,1)","nw(5,3)","up(2,5)","up(4,5)",3,0,6
205,5,0,"up(5,5)","up(5,1)","up(5,3)","ne(3,4)","ne(3,0)","ne(3,2)","ne(5,4)","ne(5,0)","ne(5,2)",3,6,0
206,5,0,"up(5,5)","up(5,1)","up(5,3)","ne(3,4)","ne(3,0)","ne(3,2)","up(3,5)","up(3,1)","up(3,3)",6,3,0
207,5,0,"up(5,5)","up(5,1)","up(5,3)","up(1,5)","up(1,1)","up(1,3)","ne(5,4)","ne(5,0)","ne(5,2)",6,3,0
208,5,0,"up(5,5)","up(5,1)","nw(2,3)","nw(4,3)","up(1,5)","up(1,1)","nw(0,3)","up(3,5)","up(3,1)",6,0,3
209,5,0,"up(5,5)","nw(2,1)","nw(4,1)","up(5,3)","up(1,5)","up(1,3)","nw(0,1)","up(3,5)","up(3,3)",6,0,3
210,5,0,"up(5,5)","nw(2,1)","nw(4,1)","nw(2,3)","nw(4,3)","up(1,5)","nw(0,1)","nw(0,3)","up(3,5)",3,0,6
211,5,0,"nw(3,5)","up(0,1)","up(0,3)","nw(1,5)","nw(5,5)","up(2,1)","up(2,3)","up(4,1)","up(4,3)",6,0,3
212,5,0,"nw(3,5)","up(0,1)","nw(1,3)","nw(3,3)","nw(1,5)","nw(5,5)","nw(5,3)","up(2,1)","up(4,1)",3,0,6
213,5,0,"nw(3,5)","nw(1,1)","ne(2,0)","ne(2,2)","nw(5,3)","ne(4,4)","ne(4,0)","ne(0,4)","ne(0,2)",0,6,3
214,5,0,"nw(3,5)","nw(1,1)","ne(2,0)","nw(3,3)","nw(1,5)","nw(5,1)","nw(5,3)","ne(4,4)","ne(0,2)",0,3,6
215,5,0,"nw(3,5)","nw(1,1)","nw(3,1)","up(0,3)","nw(1,5)","nw(5,5)","nw(5,1)","up(2,3)","up(4,3)",3,0,6
216,5,0,"nw(3,5)","nw(1,1)","nw(3,1)","nw(1,3)","ne(2,2)","nw(5,5)","nw(5,3)","ne(4,0)","ne(0,4)",0,3,6
217,5,0,"ne(2,3)","ne(2,5)","ne(2,1)","up(2,0)","up(2,2)","up(2,4)","up(4,0)","up(4,2)","up(4,4)",6,3,0
218,5,0,"ne(2,3)","ne(2,5)","ne(2,1)","up(2,0)","up(2,2)","up(2,4)","ne(0,3)","ne(0,5)","ne(0,1)",3,6,0
